PROC_ID|DURATION
18|10
22|10
21|22
19|323
2568|21
2566|25
1030|41
3690|22
3690|22
3695|22
3695|22
3700|22
3700|22
3705|26
3705|26
3710|28
3710|28
3704|24
3704|24
3709|20
3709|20
3689|22
3689|22
3694|21
3694|21
3699|34
3699|34
3873|0
3874|0
3875|0
3876|0
3877|0
4037|0
4038|0
4039|0
4040|0
4041|0
2567|22
510|0
498|0
502|10
500|441
499|282
509|282
501|0
3103|45
3256|0
642|160
643|0
641|40
628|301
629|1
630|266
631|0
639|104
640|1
636|1
637|68
638|0
632|391
633|1
634|46
635|0
624|485
623|0
627|0
622|0
644|10
2563|62
1015|0
1014|10
1066|10
1026|10
1036|0
1018|10
2564|27
1262|0
|0
1265|0
1263|0
1269|0
1267|0
1264|0
1268|0
2104|0
2127|10
2412|393
2470|54
1414|0
1417|10
1415|38
1416|0
2560|157
2559|92
2121|22
2106|23
2107|29
2108|21
2123|21
2109|22
2110|21
2111|22
2112|21
2124|22
2125|22
2113|22
2114|22
2115|21
2116|22
2117|21
2118|21
2119|21
2120|22
2126|22
2122|22
2105|23
2472|129
2562|26
2561|24
3094|55
3254|0
2410|3
2413|10
2468|10
2473|10
2558|0
2569|10
2570|0
3096|6
3095|163
5217|48
3100|37
2469|23
2944|0
2949|10
3038|10
3040|10
3092|0
3122|10
|0
3257|0
3093|35
3252|0
3251|0
3253|0
625|39
626|0
2948|21
2947|29
2946|43
3039|23
5220|17
4707|0
5221|119
5222|116
5231|5
5229|109
5223|124
5224|120
5225|113
5226|113
5227|116
5228|119
4693|22
4694|24
4695|23
4696|31
4697|26
4698|24
4704|23
4699|23
4700|27
4705|20
4701|23
4702|23
4703|23
3743|0
3744|0
3745|0
3746|0
3747|0
3748|0
3749|0
3750|0
3751|0
3752|0
3753|0
3754|0
3755|0
3756|0
3757|0
3758|0
3759|0
3760|0
3761|0
3762|0
3763|0
3764|0
3765|0
3766|0
3767|0
3768|0
3769|0
3770|0
3771|0
3907|0
3908|0
3909|0
3910|0
3911|0
3912|0
3913|0
3914|0
3915|0
3916|0
3917|0
3918|0
3919|0
3920|0
3921|0
3922|0
3923|0
3924|0
3925|0
3926|0
3927|0
3928|0
3929|0
3930|0
3931|0
3932|0
3933|0
3934|0
3935|0
4071|0
1033|0
1034|0
4073|512
4074|509
4072|415
4075|23
3688|0
3714|0
4253|0
|0
|0
1035|0
3742|0
3772|0
3872|0
3878|0
|0
3936|0
|0
4042|0
4076|2
4070|1
4077|1
20|29
4256|373
4261|373
4251|214
1031|0
1016|21
1017|21
1025|21
4252|84
4257|0
4262|1
4263|0
4266|0
4268|0
2471|111
4265|99
4245|361
4244|392
4258|26
4248|736
4254|97
4246|777
1032|0
4255|25
4247|925
4267|22
4260|41
4250|675
4259|51
4249|584
4264|20
1064|88
4243|57
4242|10
4269|10
5237|725
1065|22
3101|55
4692|0
4706|10
2945|107
3102|46
3255|0
5218|466
4936|0
4943|10
4937|718
4938|223
4939|154
4942|1
4941|164
4940|167
5235|96
5233|107
5234|121
5232|140
5236|1
2411|36
2565|78
5215|964
5214|962
5212|0
5238|10
5294|22
5219|26
5293|20
5216|34
5295|0
5230|41
5213|89
